name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Globalport,1452.4479099899218,107,1458.0506138125804,Alaska,1481.4263933618047,106,1475.823689539146
TNT,1549.4553377927712,102,1566.1165065500477,Meralco,1514.4695321712902,84,1497.8083634140137
Star,1589.5242777095343,118,1610.4143373573665,Rain or Shine,1490.2578127331944,82,1469.3677530853622
Phoenix,1447.5546411222083,96,1437.1880329401524,San Miguel,1599.5606140483765,115,1609.9272222304323
Globalport,1458.0506138125804,85,1450.249907306173,Ginebra,1593.7095814428822,96,1601.5102879492895
Rain or Shine,1469.3677530853622,69,1460.0677892597505,Star,1610.4143373573665,84,1619.7143011829783
Meralco,1497.8083634140137,103,1506.635514833659,TNT,1566.1165065500477,100,1557.2893551304023
TNT,1557.2893551304023,96,1543.7484935979812,Meralco,1506.635514833659,104,1520.1763763660801
San Miguel,1609.9272222304323,105,1602.3040820063864,Star,1619.7143011829783,109,1627.3374414070242
Ginebra,1601.5102879492895,94,1589.7066046712844,TNT,1543.7484935979812,100,1555.5521768759863
Star,1627.3374414070242,76,1621.8109709137486,San Miguel,1602.3040820063864,77,1607.830552499662
TNT,1555.5521768759863,107,1564.4761186414255,Ginebra,1589.7066046712844,103,1580.7826629058452
San Miguel,1607.830552499662,111,1613.1455788836824,Star,1621.8109709137486,110,1616.4959445297281
Ginebra,1580.7826629058452,125,1602.6829387821356,TNT,1564.4761186414255,101,1542.5758427651351
Star,1616.4959445297281,102,1605.8500511212017,San Miguel,1613.1455788836824,109,1623.791472292209
TNT,1542.5758427651351,122,1561.421606740891,Ginebra,1602.6829387821356,109,1583.8371748063796
TNT,1561.421606740891,104,1568.9077037981576,San Miguel,1623.791472292209,102,1616.3053752349424
San Miguel,1616.3053752349424,102,1629.6950146751642,TNT,1568.9077037981576,88,1555.5180643579358
TNT,1555.5180643579358,97,1544.6752771064814,San Miguel,1629.6950146751642,109,1640.5378019266186
San Miguel,1640.5378019266186,97,1628.4464241988674,TNT,1544.6752771064814,102,1556.7666548342327
TNT,1556.7666548342327,102,1547.6002309320272,San Miguel,1628.4464241988674,111,1637.6128481010728
San Miguel,1637.6128481010728,115,1653.8238617768036,TNT,1547.6002309320272,91,1531.3892172562964
