name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Kia,1483.9014186198983,107,1468.7136477926422,Phoenix,1486.1813672468336,120,1501.3691380740897
Alaska,1494.681211698612,104,1482.9143270901614,NLEX,1484.7514414186858,112,1496.5183260271365
Meralco,1504.4388028005376,107,1529.0682834687975,Blackwater,1483.2977978795795,78,1458.6683172113196
Globalport,1489.054979607358,96,1483.063050687213,Rain or Shine,1491.2149136371452,98,1497.2068425572902
NLEX,1496.5183260271365,100,1505.9839488978732,Kia,1468.7136477926422,93,1459.2480249219054
Phoenix,1501.3691380740897,95,1507.0052404432831,Alaska,1482.9143270901614,93,1477.278224720968
Blackwater,1458.6683172113196,86,1444.4600512753943,Star,1523.2870112466644,103,1537.4952771825897
Ginebra,1518.4441784574035,78,1502.2668048377725,Meralco,1529.0682834687975,93,1545.2456570884285
Rain or Shine,1497.2068425572902,114,1486.2214868412061,NLEX,1505.9839488978732,122,1516.9693046139573
Globalport,1483.063050687213,100,1496.3214222535391,Phoenix,1507.0052404432831,91,1493.746868876957
Kia,1459.2480249219054,96,1448.455865807835,TNT,1506.9056277963853,106,1517.6977869104558
Star,1537.4952771825897,101,1547.1113697400465,Alaska,1477.278224720968,92,1467.6621321635112
San Miguel,1533.8412495908967,118,1550.5767577861236,Blackwater,1444.4600512753943,93,1427.7245430801675
Meralco,1545.2456570884285,89,1559.2028022989368,Rain or Shine,1486.2214868412061,73,1472.2643416306978
Phoenix,1493.746868876957,91,1486.5035854718692,NLEX,1516.9693046139573,95,1524.2125880190451
Ginebra,1502.2668048377725,124,1519.4575846654188,Globalport,1496.3214222535391,108,1479.1306424258928
Kia,1448.455865807835,99,1432.4504859474393,Ginebra,1519.4575846654188,120,1535.4629645258144
TNT,1517.6977869104558,91,1509.1682272176554,San Miguel,1550.5767577861236,97,1559.106317478924
Alaska,1467.6621321635112,106,1463.353534278196,TNT,1509.1682272176554,107,1513.4768251029705
San Miguel,1559.106317478924,98,1549.0099472751806,Star,1547.1113697400465,104,1557.2077399437899
Ginebra,1535.4629645258144,110,1550.1509698460877,NLEX,1524.2125880190451,97,1509.5245826987718
Phoenix,1486.5035854718692,86,1474.6609452960708,Blackwater,1427.7245430801675,92,1439.5671832559658
Meralco,1559.2028022989368,112,1569.1430790999664,Kia,1432.4504859474393,97,1422.5102091464098
Kia,1422.5102091464098,86,1413.1479413486552,Rain or Shine,1472.2643416306978,94,1481.6266094284524
NLEX,1509.5245826987718,100,1521.3993997249834,Meralco,1569.1430790999664,94,1557.2682620737548
Meralco,1557.2682620737548,107,1562.2935016086735,Phoenix,1474.6609452960708,104,1469.6357057611522
Blackwater,1439.5671832559658,107,1446.2238258762031,NLEX,1521.3993997249834,106,1514.742757104746
Globalport,1479.1306424258928,102,1490.353875094882,Kia,1413.1479413486552,90,1401.924708679666
Rain or Shine,1481.6266094284524,105,1513.7116772338568,TNT,1513.4768251029705,73,1481.391757297566
Alaska,1463.353534278196,106,1453.9952147445933,Blackwater,1446.2238258762031,111,1455.582145409806
Star,1557.2077399437899,100,1571.1156814630615,Phoenix,1469.6357057611522,81,1455.7277642418805
Phoenix,1455.7277642418805,103,1446.1831424287657,TNT,1481.391757297566,110,1490.936379110681
San Miguel,1549.0099472751806,115,1554.5686592003537,Globalport,1490.353875094882,112,1484.7951631697088
Ginebra,1550.1509698460877,94,1555.5104519574138,Alaska,1453.9952147445933,90,1448.6357326332673
Rain or Shine,1513.7116772338568,92,1523.3543599081443,Star,1571.1156814630615,88,1561.472998788774
NLEX,1514.742757104746,103,1522.7848166190468,San Miguel,1554.5686592003537,100,1546.526599686053
Blackwater,1455.582145409806,98,1438.3143587334503,TNT,1490.936379110681,117,1508.2041657870366
Phoenix,1446.1831424287657,92,1436.390134938046,Ginebra,1555.5104519574138,105,1565.3034594481335
Kia,1401.924708679666,97,1383.4877029497482,Blackwater,1438.3143587334503,118,1456.7513644633682
TNT,1508.2041657870366,112,1496.7665572799033,Globalport,1484.7951631697088,119,1496.232771676842
San Miguel,1546.526599686053,79,1527.4931991224462,Alaska,1448.6357326332673,90,1467.669133196874
Globalport,1496.232771676842,99,1484.4995343661672,NLEX,1522.7848166190468,109,1534.5180539297216
Ginebra,1565.3034594481335,105,1573.0978813300994,Star,1561.472998788774,101,1553.678576906808
TNT,1496.7665572799033,113,1508.8685689703914,Meralco,1562.2935016086735,107,1550.1914899181854
San Miguel,1527.4931991224462,103,1537.8495983020755,Rain or Shine,1523.3543599081443,96,1512.997960728515
Alaska,1467.669133196874,101,1483.945616633393,Globalport,1484.4995343661672,88,1468.2230509296483
Blackwater,1456.7513644633682,81,1445.40961756648,Ginebra,1573.0978813300994,98,1584.4396282269877
Star,1553.678576906808,90,1543.888345136058,Meralco,1550.1914899181854,96,1559.9817216889355
Kia,1383.4877029497482,94,1375.9382958004724,Alaska,1483.945616633393,102,1491.4950237826688
Ginebra,1584.4396282269877,103,1575.1335213210239,San Miguel,1537.8495983020755,107,1547.1557052080393
Rain or Shine,1512.997960728515,116,1519.4881235010641,Phoenix,1436.390134938046,111,1429.8999721654968
TNT,1508.8685689703914,112,1518.5113971399649,NLEX,1534.5180539297216,107,1524.8752257601482
Alaska,1491.4950237826688,78,1471.64411058121,Meralco,1559.9817216889355,106,1579.8326348903943
Globalport,1468.2230509296483,83,1449.9654816709517,Star,1543.888345136058,109,1562.1459143947545
San Miguel,1547.1557052080393,118,1551.7767576295048,Kia,1375.9382958004724,112,1371.3172433790069
Ginebra,1575.1335213210239,89,1583.6024857575512,Rain or Shine,1519.4881235010641,82,1511.0191590645368
Blackwater,1445.40961756648,118,1459.4053113732884,Globalport,1449.9654816709517,107,1435.9697878641432
Star,1562.1459143947545,99,1551.892254240054,TNT,1518.5113971399649,104,1528.7650572946654
Rain or Shine,1511.0191590645368,112,1534.5257037865135,Alaska,1471.64411058121,82,1448.1375658592333
Phoenix,1429.8999721654968,107,1426.2517299852702,San Miguel,1551.7767576295048,109,1555.4249998097314
Kia,1371.3172433790069,81,1353.9186901662506,Star,1551.892254240054,128,1569.2908074528102
Globalport,1435.9697878641432,93,1430.2352693279774,Meralco,1579.8326348903943,100,1585.56715342656
Blackwater,1459.4053113732884,98,1442.1222460090564,Rain or Shine,1534.5257037865135,122,1551.8087691507455
TNT,1528.7650572946654,121,1561.0211177673445,Ginebra,1583.6024857575512,92,1551.346425284872
