name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Blackwater,1434.5392373258683,98,1405.1735915437741,Columbian,1400.2016355506903,126,1429.5672813327844
TNT,1528.7392003886866,128,1541.0669977543903,Globalport,1461.2602931361625,114,1448.932495770459
Columbian,1429.5672813327844,103,1418.1199886830423,Meralco,1503.1252387021618,116,1514.572531351904
Phoenix,1435.2983418689648,107,1443.1451324730585,Blackwater,1405.1735915437741,102,1397.3268009396804
Meralco,1514.572531351904,85,1508.2445088723227,Globalport,1448.932495770459,86,1455.2605182500401
Alaska,1485.5037518623237,103,1475.3781564466688,Rain or Shine,1472.7022239707283,109,1482.8278193863832
NLEX,1438.5675105876085,103,1416.528013602084,Columbian,1418.1199886830423,123,1440.1594856685667
TNT,1541.0669977543903,106,1548.7014951964964,Phoenix,1443.1451324730585,98,1435.5106350309525
Blackwater,1397.3268009396804,74,1382.8374174035039,Alaska,1475.3781564466688,93,1489.8675399828453
Rain or Shine,1482.8278193863832,108,1509.9263629974957,Ginebra,1577.9188882442977,89,1550.8203446331852
Globalport,1455.2605182500401,117,1465.5975070312968,Blackwater,1382.8374174035039,106,1372.5004286222472
NLEX,1416.528013602084,97,1413.061066346982,Rain or Shine,1509.9263629974957,98,1513.3933102525978
Alaska,1489.8675399828453,134,1512.9632452074795,Columbian,1440.1594856685667,103,1417.0637804439325
Meralco,1508.2445088723227,106,1520.2092394498948,NLEX,1413.061066346982,90,1401.09633576941
Magnolia,1599.5583878996124,87,1575.4500033781112,Phoenix,1435.5106350309525,99,1459.6190195524537
Ginebra,1550.8203446331852,92,1542.8531678166432,TNT,1548.7014951964964,96,1556.6686720130383
Columbian,1417.0637804439325,104,1432.685182337053,Rain or Shine,1513.3933102525978,96,1497.7719083594773
San Miguel,1662.585290462895,85,1644.8040336423442,Meralco,1520.2092394498948,93,1537.9904962704459
Phoenix,1459.6190195524537,115,1448.850247061792,NLEX,1401.09633576941,120,1411.8651082600716
Ginebra,1542.8531678166432,105,1550.5718549659923,Blackwater,1372.5004286222472,91,1364.7817414728981
Globalport,1465.5975070312968,87,1459.9861567570863,Magnolia,1575.4500033781112,92,1581.0613536523217
Alaska,1512.9632452074795,110,1528.0871764419815,TNT,1556.6686720130383,100,1541.5447407785364
San Miguel,1644.8040336423442,119,1632.2644421822467,Rain or Shine,1497.7719083594773,123,1510.3114998195747
Magnolia,1581.0613536523217,126,1593.8532741483864,Columbian,1432.685182337053,101,1419.8932618409883
NLEX,1411.8651082600716,94,1393.689375287047,Globalport,1459.9861567570863,116,1478.161889730111
Blackwater,1364.7817414728981,101,1355.5888080271604,TNT,1541.5447407785364,120,1550.737674224274
Meralco,1537.9904962704459,79,1533.130688929357,Magnolia,1593.8532741483864,81,1598.7130814894754
Alaska,1528.0871764419815,105,1536.5946656286826,San Miguel,1632.2644421822467,103,1623.7569529955456
Rain or Shine,1510.3114998195747,96,1518.865521910477,Globalport,1478.161889730111,90,1469.6078676392087
Ginebra,1550.5718549659923,98,1538.2696801667225,Phoenix,1448.850247061792,103,1461.1524218610618
NLEX,1393.689375287047,93,1400.5230697931677,Blackwater,1355.5888080271604,89,1348.7551135210397
Phoenix,1461.1524218610618,94,1453.9008268350037,San Miguel,1623.7569529955456,106,1631.0085480216037
Columbian,1419.8932618409883,95,1404.8253904845656,TNT,1550.737674224274,123,1565.8055455806968
Ginebra,1538.2696801667225,82,1524.2442380482505,Meralco,1533.130688929357,93,1547.156131047829
Globalport,1469.6078676392087,103,1464.2382630171937,Alaska,1536.5946656286826,106,1541.9642702506976
Magnolia,1598.7130814894754,96,1589.561898505027,Rain or Shine,1518.865521910477,99,1528.0167048949252
TNT,1565.8055455806968,117,1572.579170060092,NLEX,1400.5230697931677,106,1393.7494453137724
Ginebra,1524.2442380482505,97,1517.4426729287559,San Miguel,1631.0085480216037,104,1637.8101131410983
Magnolia,1589.561898505027,84,1577.5925139415858,Blackwater,1348.7551135210397,86,1360.724498084481
San Miguel,1637.8101131410983,129,1642.8936062729802,Columbian,1404.8253904845656,117,1399.7418973526837
Blackwater,1360.724498084481,94,1354.4029027366528,Rain or Shine,1528.0167048949252,104,1534.3383002427533
Meralco,1547.156131047829,103,1551.954484129649,Phoenix,1453.9008268350037,100,1449.1024737531836
Ginebra,1517.4426729287559,93,1524.241061747886,NLEX,1393.7494453137724,85,1386.9510564946422
Phoenix,1449.1024737531836,107,1435.619280763137,Columbian,1399.7418973526837,115,1413.2250903427303
Alaska,1541.9642702506976,103,1550.9332153625037,Magnolia,1577.5925139415858,99,1568.6235688297797
Globalport,1464.2382630171937,98,1477.8268907370934,San Miguel,1642.8936062729802,94,1629.3049785530804
Magnolia,1568.6235688297797,111,1590.8307587890192,TNT,1572.579170060092,89,1550.3719801008526
Meralco,1551.954484129649,102,1562.5754305833796,Blackwater,1354.4029027366528,75,1343.7819562829222
NLEX,1386.9510564946422,111,1380.9253832901363,Alaska,1550.9332153625037,120,1556.9588885670096
Rain or Shine,1534.3383002427533,108,1538.3869892119328,Phoenix,1435.619280763137,106,1431.5705917939576
San Miguel,1629.3049785530804,99,1635.731096026053,TNT,1550.3719801008526,94,1543.9458626278802
Alaska,1556.9588885670096,74,1540.4756586704186,Meralco,1562.5754305833796,89,1579.0586604799705
Ginebra,1524.241061747886,109,1554.3474521355674,Magnolia,1590.8307587890192,84,1560.7243684013379
Phoenix,1431.5705917939576,135,1461.3492025923783,Globalport,1477.8268907370934,108,1448.0482799386727
Columbian,1413.2250903427303,107,1399.2354870639303,Ginebra,1554.3474521355674,134,1568.3370554143673
Globalport,1448.0482799386727,133,1463.8134794310974,Columbian,1399.2354870639303,115,1383.4702875715057
TNT,1543.9458626278802,91,1554.8928269576475,Meralco,1579.0586604799705,85,1568.1116961502032
NLEX,1380.9253832901363,114,1376.6393467283817,San Miguel,1635.731096026053,125,1640.0171325878075
Meralco,1568.1116961502032,99,1556.4202203453124,Rain or Shine,1538.3869892119328,106,1550.0784650168237
Ginebra,1568.3370554143673,105,1586.1195014538237,Alaska,1540.4756586704186,86,1522.6932126309623
San Miguel,1640.0171325878075,115,1643.0423336524316,Blackwater,1343.7819562829222,106,1340.7567552182982
Magnolia,1560.7243684013379,116,1572.086773775893,NLEX,1376.6393467283817,89,1365.2769413538265
Alaska,1522.6932126309623,114,1540.4598924521677,Phoenix,1461.3492025923783,91,1443.582522771173
Globalport,1463.8134794310974,98,1452.3364489587048,Ginebra,1586.1195014538237,116,1597.5965319262164
TNT,1554.8928269576475,100,1571.425293022639,Rain or Shine,1550.0784650168237,85,1533.5459989518322
San Miguel,1643.0423336524316,97,1632.9728579780433,Magnolia,1572.086773775893,101,1582.1562494502814
