name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
San Miguel,1623.55696409241,104,1628.675171949307,Phoenix,1440.5054899680943,96,1435.3872821111972
Kia,1407.213046600319,115,1399.769934405299,NLEX,1423.3272784542332,119,1430.7703906492534
Magnolia,1565.6358700857566,108,1578.1027378358676,Alaska,1512.5967392236919,95,1500.1298714735808
Blackwater,1446.318653379422,98,1438.5318619871382,Meralco,1478.4035959384657,103,1486.1903873307494
Rain or Shine,1514.0169309890944,82,1521.1035478922008,TNT,1517.8313904089741,79,1510.7447735058677
NLEX,1430.7703906492534,115,1447.8054513031327,Globalport,1492.6825706724012,104,1475.6475100185219
Ginebra,1577.9114701871385,89,1591.6853616095545,Magnolia,1578.1027378358676,78,1564.3288464134516
Phoenix,1435.3872821111972,125,1455.103606223861,Kia,1399.769934405299,102,1380.053610292635
Meralco,1486.1903873307494,97,1480.885021272852,San Miguel,1628.675171949307,103,1633.9805380072044
Blackwater,1438.5318619871382,92,1450.148056456681,Rain or Shine,1521.1035478922008,87,1509.487353422658
TNT,1510.7447735058677,106,1521.654633705224,Alaska,1500.1298714735808,98,1489.2200112742246
NLEX,1447.8054513031327,95,1437.5701181516297,Phoenix,1455.103606223861,102,1465.3389393753641
Globalport,1475.6475100185219,97,1469.1242553263749,Ginebra,1591.6853616095545,104,1598.2086163017016
Kia,1380.053610292635,77,1362.9716195478784,Magnolia,1564.3288464134516,124,1581.4108371582083
Alaska,1489.2200112742246,103,1497.7488672519726,Meralco,1480.885021272852,98,1472.3561652951041
Rain or Shine,1509.487353422658,70,1496.4031405151054,Globalport,1469.1242553263749,78,1482.2084682339275
Ginebra,1598.2086163017016,77,1569.087748745927,Blackwater,1450.148056456681,94,1479.2689240124555
San Miguel,1633.9805380072044,88,1643.1560695686933,TNT,1521.654633705224,76,1512.479102143735
Kia,1362.9716195478784,65,1344.8303943795509,Alaska,1497.7488672519726,102,1515.8900924203
Magnolia,1581.4108371582083,105,1588.9174632486668,NLEX,1437.5701181516297,94,1430.0634920611712
Phoenix,1465.3389393753641,99,1446.5114239645075,Rain or Shine,1496.4031405151054,120,1515.230655925962
TNT,1512.479102143735,92,1523.2020013953775,Blackwater,1479.2689240124555,83,1468.546024760813
Blackwater,1468.546024760813,76,1445.7719702583483,Globalport,1482.2084682339275,101,1504.9825227363922
NLEX,1430.0634920611712,98,1424.7301612239755,San Miguel,1643.1560695686933,109,1648.489400405889
Rain or Shine,1515.230655925962,94,1501.9165984599124,Kia,1344.8303943795509,98,1358.1444518456005
Magnolia,1588.9174632486668,97,1594.224799255615,Phoenix,1446.5114239645075,91,1441.2040879575593
TNT,1523.2020013953775,99,1538.837685880992,Meralco,1472.3561652951041,81,1456.7204808094896
Alaska,1515.8900924203,97,1535.2329864553412,Ginebra,1569.087748745927,83,1549.7448547108859
Meralco,1456.7204808094896,105,1474.6072789531813,Kia,1358.1444518456005,76,1340.2576537019088
Globalport,1504.9825227363922,93,1496.2006693273806,San Miguel,1648.489400405889,107,1657.2712538149005
NLEX,1424.7301612239755,86,1414.6000113931589,Rain or Shine,1501.9165984599124,97,1512.046748290729
Ginebra,1549.7448547108859,82,1537.1964254729787,Phoenix,1441.2040879575593,87,1453.7525171954665
Blackwater,1445.7719702583483,84,1440.253227733034,Alaska,1535.2329864553412,88,1540.7517289806556
Magnolia,1594.224799255615,91,1603.3744472890048,TNT,1538.837685880992,83,1529.6880378476021
Meralco,1474.6072789531813,88,1456.3885251024751,Globalport,1496.2006693273806,107,1514.4194231780868
San Miguel,1657.2712538149005,96,1645.6180567485783,Ginebra,1537.1964254729787,100,1548.849622539301
Kia,1340.2576537019088,85,1336.4146894494977,TNT,1529.6880378476021,90,1533.5310021000132
Phoenix,1453.7525171954665,75,1440.319350662505,Alaska,1540.7517289806556,93,1554.184895513617
Blackwater,1440.253227733034,72,1435.4463011103783,Magnolia,1603.3744472890048,78,1608.1813739116606
