name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Alaska,1531.7681129773082,84,1523.331498718044,Meralco,1637.2933431522351,94,1645.7299574114993
Ginebra,1633.6810249230325,100,1638.1820023624985,San Miguel,1525.9789385020667,97,1521.4779610626008
NorthPort,1438.6775008318007,115,1467.1758200021975,NLEX,1488.326761277923,90,1459.8284421075261
TNT,1528.4936975341657,98,1534.6956572205274,Magnolia,1587.8612903958629,97,1581.659330709501
NLEX,1459.8284421075261,123,1453.0279059208328,NorthPort,1467.1758200021975,126,1473.9763561888908
NorthPort,1473.9763561888908,124,1523.639033693082,Ginebra,1638.1820023624985,90,1588.5193248583073
TNT,1534.6956572205274,103,1552.1770347054364,Meralco,1645.7299574114993,94,1628.2485799265903
Ginebra,1588.5193248583073,113,1607.0960798300025,NorthPort,1523.639033693082,88,1505.0622787213867
Meralco,1628.2485799265903,114,1643.3896574803255,TNT,1552.1770347054364,94,1537.0359571517013
NorthPort,1505.0622787213867,105,1488.3336234840326,Ginebra,1607.0960798300025,132,1623.8247350673566
TNT,1537.0359571517013,101,1548.241945027659,Meralco,1643.3896574803255,97,1632.1836696043677
Ginebra,1623.8247350673566,120,1632.5116963661576,NorthPort,1488.3336234840326,107,1479.6466621852317
Meralco,1632.1836696043677,95,1642.583201506943,TNT,1548.241945027659,83,1537.8424131250838
TNT,1537.8424131250838,78,1528.8591138927338,Meralco,1642.583201506943,89,1651.566500739293
Meralco,1651.566500739293,87,1643.0988262056567,Ginebra,1632.5116963661576,91,1640.9793708997938
Ginebra,1640.9793708997938,102,1634.9865458060106,Meralco,1643.0988262056567,104,1649.09165129944
Meralco,1649.09165129944,84,1637.147234340733,Ginebra,1634.9865458060106,92,1646.9309627647176
Ginebra,1646.9309627647176,94,1668.0373034782033,Meralco,1637.147234340733,72,1616.0408936272472
Meralco,1616.0408936272472,93,1604.1509176021584,Ginebra,1668.0373034782033,105,1679.927279503292
