name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
San Miguel,1604.6092334485813,71,1589.6622326472882,Meralco,1497.315108050678,78,1512.262108851971
Ginebra,1592.8273592223077,81,1601.6616299370025,Rain or Shine,1528.9491139620495,73,1520.1148432473547
TNT,1551.3222023335436,104,1570.4967886311904,Alaska,1524.944513784224,83,1505.7699274865772
Phoenix,1535.5489123463174,89,1541.8506977975132,Magnolia,1599.8864737656797,88,1593.5846883144839
San Miguel,1589.6622326472882,68,1561.2161624288585,Meralco,1512.262108851971,90,1540.7081790704008
Phoenix,1541.8506977975132,92,1536.4319080983223,TNT,1570.4967886311904,94,1575.9155783303813
Ginebra,1601.6616299370025,96,1616.0879048979625,Meralco,1540.7081790704008,79,1526.2819041094408
Ginebra,1616.0879048979625,77,1590.3891830409134,Meralco,1526.2819041094408,95,1551.98062596649
Phoenix,1536.4319080983223,110,1548.519625790867,TNT,1575.9155783303813,103,1563.8278606378367
Phoenix,1548.519625790867,92,1555.9060642627262,TNT,1563.8278606378367,89,1556.4414221659774
Ginebra,1590.3891830409134,91,1599.4683518932309,Meralco,1551.98062596649,84,1542.9014571141724
Ginebra,1599.4683518932309,80,1590.9675591970451,Meralco,1542.9014571141724,83,1551.4022498103582
Phoenix,1555.9060642627262,101,1550.8636204554732,TNT,1556.4414221659774,102,1561.4838659732304
Phoenix,1550.8636204554732,81,1538.3940643124674,TNT,1561.4838659732304,91,1573.9534221162362
Ginebra,1590.9675591970451,83,1596.9733449554774,Meralco,1551.4022498103582,80,1545.396464051926
Ginebra,1596.9733449554774,100,1605.8365357495686,TNT,1573.9534221162362,94,1565.090231322145
Ginebra,1605.8365357495686,92,1611.002854307379,TNT,1565.090231322145,90,1559.9239127643345
Ginebra,1611.002854307379,67,1585.6918583709821,TNT,1559.9239127643345,88,1585.2349087007315
Ginebra,1585.6918583709821,98,1598.6419588231765,TNT,1585.2349087007315,88,1572.284808248537
Ginebra,1598.6419588231765,82,1605.797954120523,TNT,1572.284808248537,78,1565.1288129511906
