name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Alaska,1507.3432787017898,87,1512.7996184645383,NorthPort,1480.4722865668055,85,1475.015946804057
NLEX,1468.2799871843522,114,1486.7206794891026,San Miguel,1537.7568066179801,102,1519.3161143132297
Terrafirma,1348.4356871455307,100,1343.5871226191584,Phoenix,1439.308126389301,103,1444.1566909156732
Blackwater,1350.081458725808,79,1340.7151139788705,Rain or Shine,1469.2532289007352,92,1478.6195736476727
NorthPort,1475.015946804057,115,1466.5943256482335,NLEX,1486.7206794891026,120,1495.142300644926
San Miguel,1519.3161143132297,94,1510.307459244489,Alaska,1512.7996184645383,99,1521.808273533279
Phoenix,1444.1566909156732,110,1453.1921260441986,Blackwater,1340.7151139788705,99,1331.679678850345
Rain or Shine,1478.6195736476727,106,1463.7713517419281,Terrafirma,1343.5871226191584,112,1358.435344524903
NorthPort,1466.5943256482335,88,1460.6872573344804,San Miguel,1510.307459244489,91,1516.2145275582423
Alaska,1521.808273533279,77,1517.6145147282243,Ginebra,1645.1047527987284,80,1649.298511603783
Terrafirma,1358.435344524903,87,1349.4406537471973,Magnolia,1588.338001506732,114,1597.3326922844378
NLEX,1495.142300644926,102,1502.8460240719476,TNT,1566.5343994349041,100,1558.8306760078826
Blackwater,1331.679678850345,77,1325.5148864591,Meralco,1599.0919860273345,98,1605.2567784185796
Phoenix,1453.1921260441986,88,1447.385293701644,Rain or Shine,1463.7713517419281,90,1469.5781840844827
TNT,1558.8306760078826,81,1565.5801397553219,Alaska,1517.6145147282243,77,1510.865050980785
Ginebra,1649.298511603783,108,1660.1101567636874,NorthPort,1460.6872573344804,82,1449.875612174576
Terrafirma,1349.4406537471973,86,1335.1975610132856,NLEX,1502.8460240719476,116,1517.0891168058592
San Miguel,1516.2145275582423,107,1524.7922610308785,Blackwater,1325.5148864591,88,1316.9371529864636
Rain or Shine,1469.5781840844827,98,1461.4858318699064,Magnolia,1597.3326922844378,109,1605.4250444990141
Phoenix,1447.385293701644,121,1444.3163116838487,Ginebra,1660.1101567636874,125,1663.1791387814828
Blackwater,1316.9371529864636,75,1307.2905298065366,Alaska,1510.865050980785,98,1520.5116741607121
Meralco,1605.2567784185796,83,1611.2599033481592,TNT,1565.5801397553219,80,1559.5770148257423
NLEX,1517.0891168058592,93,1501.502509159348,Phoenix,1444.3163116838487,102,1459.90291933036
Ginebra,1663.1791387814828,94,1635.5993221644515,Magnolia,1605.4250444990141,117,1633.0048611160455
Terrafirma,1335.1975610132856,88,1328.8484884571826,San Miguel,1524.7922610308785,100,1531.1413335869815
TNT,1559.5770148257423,95,1564.2744732089739,Rain or Shine,1461.4858318699064,92,1456.7883734866748
Meralco,1611.2599033481592,110,1619.5380990783692,NLEX,1501.502509159348,100,1493.224313429138
Magnolia,1633.0048611160455,96,1638.335360279279,TNT,1564.2744732089739,93,1558.9439740457403
Blackwater,1307.2905298065366,103,1298.3773294496982,Terrafirma,1328.8484884571826,109,1337.761688814021
Rain or Shine,1456.7883734866748,104,1472.4589818046738,NorthPort,1449.875612174576,90,1434.205003856577
TNT,1558.9439740457403,92,1551.9336744554705,Phoenix,1459.90291933036,93,1466.9132189206298
Ginebra,1635.5993221644515,95,1625.355269467227,Meralco,1619.5380990783692,101,1629.7821517755938
NLEX,1493.224313429138,109,1489.4359197124822,Magnolia,1638.335360279279,112,1642.1237539959347
San Miguel,1531.1413335869815,81,1515.576857195859,TNT,1551.9336744554705,96,1567.498150846593
Meralco,1629.7821517755938,98,1605.1408859493415,NorthPort,1434.205003856577,109,1458.8462696828292
Alaska,1520.5116741607121,80,1528.5405362869863,Rain or Shine,1472.4589818046738,74,1464.4301196783997
Blackwater,1298.3773294496982,97,1289.5050457180296,NLEX,1489.4359197124822,117,1498.3082034441509
TNT,1567.498150846593,119,1598.4334826975098,Ginebra,1625.355269467227,92,1594.41993761631
Terrafirma,1337.761688814021,97,1333.9445845030043,Alaska,1528.5405362869863,102,1532.357640598003
Magnolia,1642.1237539959347,103,1651.722584997936,Phoenix,1466.9132189206298,83,1457.3143879186284
Rain or Shine,1464.4301196783997,88,1459.561326444801,Meralco,1605.1408859493415,93,1610.0096791829403
Ginebra,1594.41993761631,102,1579.604175192312,San Miguel,1515.576857195859,110,1530.3926196198572
Alaska,1532.357640598003,89,1511.6968758116552,NLEX,1498.3082034441509,106,1518.9689682304986
San Miguel,1530.3926196198572,104,1536.9807256994454,Phoenix,1457.3143879186284,99,1450.7262818390402
Meralco,1610.0096791829403,107,1614.0485911441722,Terrafirma,1333.9445845030043,95,1329.9056725417724
NorthPort,1458.8462696828292,103,1469.5901724249688,Magnolia,1651.722584997936,101,1640.9786822557965
NLEX,1518.9689682304986,109,1528.6172783168938,Rain or Shine,1459.561326444801,100,1449.9130163584057
Blackwater,1289.5050457180296,100,1286.3758933595086,Ginebra,1579.604175192312,109,1582.7333275508329
Alaska,1511.6968758116552,94,1518.7756657382254,Meralco,1614.0485911441722,93,1606.969801217602
Phoenix,1450.7262818390402,93,1440.152308932415,NorthPort,1469.5901724249688,101,1480.164145331594
Ginebra,1582.7333275508329,112,1585.5016116004283,Terrafirma,1329.9056725417724,107,1327.137388492177
Magnolia,1640.9786822557965,104,1652.9680147982542,San Miguel,1536.9807256994454,87,1524.9913931569877
NorthPort,1480.164145331594,116,1486.7104707635592,Blackwater,1286.3758933595086,103,1279.8295679275434
Meralco,1606.969801217602,85,1593.504358649489,Magnolia,1652.9680147982542,99,1666.4334573663673
Alaska,1518.7756657382254,99,1507.2997614618523,Phoenix,1440.152308932415,104,1451.628213208788
San Miguel,1524.9913931569877,104,1530.862036028378,Rain or Shine,1449.9130163584057,100,1444.0423734870153
Blackwater,1279.8295679275434,93,1276.4668496517186,TNT,1598.4334826975098,106,1601.7962009733346
NLEX,1528.6172783168938,115,1546.32894976423,Ginebra,1585.5016116004283,103,1567.7899401530922
Terrafirma,1327.137388492177,117,1321.8172392490094,NorthPort,1486.7104707635592,124,1492.0306200067268
