name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Phoenix,1440.1820256973806,101,1448.4025395179867,NorthPort,1486.5563286444392,98,1478.335814823833
NLEX,1546.32894976423,79,1527.070237688069,Alaska,1494.4604698100752,93,1513.7191818862361
TNT,1612.8361906898708,92,1596.2680965276063,Ginebra,1576.0329527347162,104,1592.6010468969807
San Miguel,1541.7747063802178,85,1528.0325813442425,Meralco,1594.0378758090567,100,1607.780000845032
Magnolia,1665.6991759133793,127,1678.2681669335568,Phoenix,1448.4025395179867,88,1435.8335484978093
Ginebra,1592.6010468969807,115,1613.3533631292576,TNT,1596.2680965276063,95,1575.5157802953295
Alaska,1513.7191818862361,80,1496.999492665447,NLEX,1527.070237688069,96,1543.7899269088582
Meralco,1607.780000845032,80,1595.6070498155907,Magnolia,1678.2681669335568,94,1690.441117962998
NLEX,1543.7899269088582,86,1534.5414171833743,Ginebra,1613.3533631292576,95,1622.6018728547415
Ginebra,1622.6018728547415,104,1631.712729232193,NLEX,1534.5414171833743,94,1525.4305608059228
Magnolia,1690.441117962998,75,1677.1955796593338,Meralco,1595.6070498155907,81,1608.852588119255
Meralco,1608.852588119255,101,1621.063314345895,Magnolia,1677.1955796593338,95,1664.9848534326939
NLEX,1525.4305608059228,86,1532.5908352696642,Ginebra,1631.712729232193,85,1624.5524547684515
Ginebra,1624.5524547684515,112,1638.1972188770576,NLEX,1532.5908352696642,93,1518.9460711610582
Magnolia,1664.9848534326939,94,1682.8767691297485,Meralco,1621.063314345895,73,1603.1713986488403
Meralco,1603.1713986488403,94,1623.2189727813673,Magnolia,1682.8767691297485,81,1662.8291949972215
Ginebra,1638.1972188770576,91,1622.0276107156392,Meralco,1623.2189727813673,104,1639.3885809427857
Meralco,1639.3885809427857,93,1629.09714202461,Ginebra,1622.0276107156392,99,1632.3190496338148
Ginebra,1632.3190496338148,74,1620.007199852713,Meralco,1629.09714202461,83,1641.4089918057118
Meralco,1641.4089918057118,84,1626.5434715038125,Ginebra,1620.007199852713,95,1634.8727201546124
Ginebra,1634.8727201546124,115,1643.401759366766,Meralco,1626.5434715038125,110,1618.0144322916587
Meralco,1618.0144322916587,92,1605.5081983515354,Ginebra,1643.401759366766,103,1655.9079933068895
