name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Alaska,1505.7699274865772,103,1517.5888415216411,Blackwater,1335.1699740640179,77,1323.351060028954
Rain or Shine,1520.1148432473547,83,1525.4048449270324,NLEX,1532.7757189661422,82,1527.4857172864645
Meralco,1545.396464051926,85,1557.4969012837578,NorthPort,1404.4408081252982,63,1392.3403708934663
TNT,1565.1288129511909,86,1568.099189032608,Terrafirma,1292.2105819311623,79,1289.2402058497453
Magnolia,1593.584688314484,80,1602.0694565906324,Phoenix,1538.3940643124674,73,1529.9092960363191
San Miguel,1561.2161624288585,67,1536.2308105124805,Meralco,1557.4969012837578,93,1582.4822532001358
NLEX,1527.4857172864645,84,1543.3434852596279,Ginebra,1605.7979541205232,75,1589.9401861473598
Blackwater,1323.351060028954,62,1318.3632077452673,Rain or Shine,1525.4048449270324,71,1530.392697210719
Phoenix,1529.9092960363191,79,1481.5913890573656,NorthPort,1392.3403708934663,115,1440.6582778724198
Alaska,1517.5888415216411,82,1513.2805248616517,Magnolia,1602.0694565906324,84,1606.3777732506219
Ginebra,1589.9401861473598,96,1594.7285420103221,Blackwater,1318.3632077452673,81,1313.574851882305
San Miguel,1536.2308105124805,110,1555.0218516551067,NLEX,1543.3434852596279,93,1524.5524441170016
Meralco,1582.4822532001358,72,1564.12196309439,Rain or Shine,1530.392697210719,85,1548.752987316465
Alaska,1513.2805248616517,93,1500.5770579640075,Phoenix,1481.5913890573656,101,1494.2948559550098
NorthPort,1440.6582778724198,86,1436.883117751364,San Miguel,1555.0218516551067,88,1558.7970117761627
Magnolia,1606.3777732506219,89,1618.799134871117,Ginebra,1594.7285420103221,79,1582.307180389827
NLEX,1524.5524441170016,108,1530.1031529981055,Terrafirma,1289.2402058497453,94,1283.6894969686414
San Miguel,1558.7970117761627,99,1565.2719061683597,Blackwater,1313.574851882305,80,1307.099957490108
Rain or Shine,1548.752987316465,48,1519.5858104777499,Alaska,1500.5770579640075,74,1529.7442348027225
Phoenix,1494.2948559550098,80,1483.8441028558575,Meralco,1564.12196309439,91,1574.5727161935422
Terrafirma,1283.6894969686414,83,1279.310313499313,Magnolia,1618.799134871117,105,1623.1783183404455
TNT,1568.099189032608,79,1578.8540597688311,Rain or Shine,1519.5858104777499,69,1508.8309397415267
Ginebra,1582.307180389827,87,1585.5765703631132,NorthPort,1436.883117751364,85,1433.6137277780776
Meralco,1574.5727161935422,89,1584.8115585095773,Alaska,1529.7442348027225,80,1519.5053924866875
Rain or Shine,1508.8309397415267,83,1512.2708686381238,Terrafirma,1279.310313499313,77,1275.8703846027158
Phoenix,1483.8441028558575,80,1478.4575706303233,TNT,1578.8540597688311,84,1584.2405919943653
Blackwater,1307.099957490108,76,1301.4475505539415,TNT,1584.2405919943653,96,1589.8929989305318
Terrafirma,1275.8703846027158,110,1297.0273584790239,San Miguel,1565.2719061683597,104,1544.1149322920517
Meralco,1584.8115585095773,95,1590.5971984527177,Magnolia,1623.1783183404455,94,1617.392678397305
NLEX,1530.1031529981055,84,1542.5737632273217,Alaska,1519.5053924866875,74,1507.0347822574713
Rain or Shine,1512.2708686381238,77,1506.5742175571643,Phoenix,1478.4575706303233,78,1484.1542217112828
Magnolia,1617.392678397305,94,1621.3088287639705,Blackwater,1301.4475505539415,78,1297.531400187276
Ginebra,1585.5765703631132,90,1566.3541999155186,Terrafirma,1297.0273584790239,95,1316.2497289266184
TNT,1589.8929989305318,91,1606.7659421078747,Meralco,1590.5971984527177,76,1573.7242552753748
Phoenix,1484.1542217112828,76,1468.995865158505,NLEX,1542.5737632273217,94,1557.7321197800995
Terrafirma,1316.2497289266184,96,1329.8090723492542,Blackwater,1297.531400187276,84,1283.9720567646402
Magnolia,1621.3088287639705,75,1609.3457352476864,TNT,1606.7659421078747,83,1618.7290356241588
Magnolia,1609.3457352476864,112,1617.9553752184993,NLEX,1557.7321197800995,105,1549.1224798092867
TNT,1618.7290356241588,67,1596.0872891265144,San Miguel,1544.1149322920517,83,1566.756678789696
Rain or Shine,1506.5742175571643,77,1498.921207184177,Ginebra,1566.3541999155186,83,1574.0072102885058
Phoenix,1468.995865158505,96,1477.1042031410784,Terrafirma,1329.8090723492542,84,1321.7007343666808
NorthPort,1433.6137277780776,98,1446.3288734259938,Blackwater,1283.9720567646402,73,1271.256911116724
Magnolia,1617.9553752184993,72,1607.68425565123,Rain or Shine,1498.921207184177,75,1509.1923267514464
NLEX,1549.1224798092867,85,1535.0818438966987,TNT,1596.0872891265144,100,1610.1279250391024
Ginebra,1574.0072102885058,102,1561.513576369315,San Miguel,1566.756678789696,111,1579.250312708887
Terrafirma,1321.7007343666808,84,1309.4881017011462,NorthPort,1446.3288734259938,104,1458.5415060915284
Blackwater,1271.256911116724,92,1262.4556867179356,Phoenix,1477.1042031410784,114,1485.9054275398669
San Miguel,1579.250312708887,93,1571.5788782013506,Rain or Shine,1509.1923267514464,95,1516.8637612589828
Ginebra,1561.513576369315,67,1543.956912380509,TNT,1610.1279250391024,88,1627.6845890279083
NorthPort,1458.5415060915284,96,1466.370167217581,NLEX,1535.0818438966987,94,1527.2531827706462
TNT,1627.6845890279083,102,1634.192270817602,NorthPort,1466.370167217581,92,1459.8624854278871
Phoenix,1485.9054275398669,87,1477.5198044593044,Ginebra,1543.956912380509,94,1552.3425354610715
Terrafirma,1309.4881017011462,83,1305.1822433707573,Meralco,1573.7242552753748,95,1578.0301136057637
Blackwater,1262.4556867179356,73,1257.051906249612,NLEX,1527.2531827706462,90,1532.6569632389696
NorthPort,1459.8624854278871,89,1457.1585192415637,Magnolia,1607.68425565123,90,1610.3882218375534
San Miguel,1571.5788782013506,110,1590.2793854352506,Phoenix,1477.5198044593044,80,1458.8192972254044
Ginebra,1552.3425354610715,75,1533.4976224214984,Alaska,1507.0347822574713,89,1525.8796952970445
