name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Magnolia,1651.6752912198106,98,1659.1705782038277,NLEX,1534.106104157941,89,1526.6108171739238
Ginebra,1569.0784733368746,82,1556.6025936371816,Meralco,1595.0929760865063,93,1607.5688557861993
TNT,1664.5830220926105,116,1672.4006456868963,Converge,1442.0337441245483,95,1434.2161205302625
San Miguel,1638.4120246942682,123,1644.4575338403895,Blackwater,1321.13539671691,93,1315.0898875707887
Meralco,1607.5688557861993,87,1595.009160192244,Ginebra,1556.6025936371816,94,1569.1622892311368
NLEX,1526.6108171739238,90,1549.980790431681,Magnolia,1659.1705782038277,77,1635.8006049460705
Magnolia,1635.8006049460705,112,1642.6557044702092,NLEX,1549.980790431681,106,1543.1256909075423
Ginebra,1569.1622892311368,104,1563.6842270125628,Meralco,1595.009160192244,106,1600.487222410818
TNT,1672.4006456868963,108,1685.3944858321347,Magnolia,1642.6557044702092,96,1629.6618643249708
Meralco,1600.487222410818,97,1580.8312807017542,San Miguel,1644.4575338403895,121,1664.1134755494534
San Miguel,1664.1134755494534,88,1645.8980719342576,Meralco,1580.8312807017542,99,1599.04668431695
Magnolia,1629.6618643249708,92,1639.2522839538663,TNT,1685.3944858321347,88,1675.8040662032392
TNT,1675.8040662032392,93,1680.1983772558817,Magnolia,1639.2522839538663,92,1634.8579729012238
Meralco,1599.04668431695,91,1591.7042588265836,San Miguel,1645.8980719342576,96,1653.240497424624
San Miguel,1653.240497424624,97,1633.3669367971804,Meralco,1591.7042588265836,111,1611.5778194540271
Magnolia,1634.8579729012238,84,1618.8702302792806,TNT,1680.1983772558817,102,1696.186119877825
TNT,1696.186119877825,97,1681.4402297516133,Magnolia,1618.8702302792806,105,1633.6161204054922
Meralco,1611.5778194540271,78,1598.8967408079493,San Miguel,1633.3669367971804,89,1646.0480154432582
San Miguel,1646.0480154432582,92,1636.7245339522533,Meralco,1598.8967408079493,96,1608.2202222989542
TNT,1681.4402297516133,87,1694.1740105058147,Magnolia,1633.6161204054922,74,1620.8823396512907
Meralco,1608.2202222989542,89,1595.864485539341,San Miguel,1636.7245339522533,100,1649.0802707118664
San Miguel,1649.0802707118664,84,1644.003136341925,TNT,1694.1740105058147,86,1699.2511448757562
TNT,1699.2511448757562,100,1684.5138372073452,San Miguel,1644.003136341925,109,1658.740444010336
San Miguel,1658.740444010336,108,1671.1865640351125,TNT,1684.5138372073452,100,1672.0677171825687
TNT,1672.0677171825687,100,1687.3340899113985,San Miguel,1671.1865640351125,87,1655.9201913062827
San Miguel,1655.9201913062827,93,1645.1214245492292,TNT,1687.3340899113985,102,1698.132856668452
TNT,1698.132856668452,96,1675.241438191027,San Miguel,1645.1214245492292,114,1668.012843026654
San Miguel,1668.012843026654,119,1690.4858543939843,TNT,1675.241438191027,97,1652.768426823697
